trade_date,market_avg_price,market_avg_volume,market_avg_rsi,stocks_traded,buy_signals,sell_signals,oversold_count,overbought_count
2000-03-17,87.812,1.048094E7,59.3560453828116,5,4,1,0,0
2000-07-03,63.138,2765820.0,40.89570530450169,5,1,4,2,1
2000-12-26,25.252,1.020818E7,34.406261031679556,5,0,5,0,0
2001-05-16,44.876,1.490486E7,52.7188374005686,5,2,3,0,0
2002-06-20,22.343333333333334,1.3832416666666666E7,33.8304694761077,6,1,5,3,0
2002-12-06,21.036666666666665,1.19713E7,52.20301466757494,6,3,3,0,0
2005-06-06,58.79625,1.63244125E7,69.99307491250254,8,7,1,0,4
2006-05-17,76.01125,2.3023733375E7,24.770958599374286,8,0,8,6,0
2007-04-20,94.66499999999999,2.17044625E7,62.54795860139068,8,5,3,0,4
2007-11-15,128.10625,2.2194625E7,40.80787688379598,8,0,8,1,0
2007-11-23,135.21125,9238412.5,35.58327708721867,8,1,7,3,0
2010-08-11,127.81472222222222,2.1907588888888888E7,45.1154677795301,9,3,6,2,1
2012-04-17,195.16555555555556,1.2690744444444444E7,37.78940261984825,9,1,8,2,0
2013-01-22,185.01590000000002,1.899901E7,55.62877788124719,10,5,5,0,2
2013-03-26,200.43259999999998,9185980.0,45.160677368257836,10,4,6,3,1
2013-05-21,206.59500000000003,1.592109E7,69.42770461731327,10,8,2,0,7
2013-09-09,229.24939999999998,1.930493E7,64.51660847290255,10,9,1,0,3
2014-09-26,191.1115,1.50371588E7,36.106684346545535,10,3,7,4,0
2014-11-12,182.35949999999997,1.30266397E7,60.5047994340714,10,8,2,0,3
2015-03-09,192.962,1.75027419E7,49.18946754603477,10,4,6,0,0
2015-05-19,218.76899999999995,1.23425695E7,49.97060748477894,10,6,4,0,1
2016-03-01,197.37399999999997,1.64928085E7,75.3860033311126,10,10,0,0,6
2017-08-11,308.1735,1.78513947E7,38.978242750182304,10,3,7,4,0
2017-09-11,315.571,1.38954224E7,67.22306790347582,10,9,1,0,2
2018-08-10,475.63199999999995,1.60144685E7,55.540964531977785,10,8,2,0,1
2019-05-08,457.35800000000006,1.65875261E7,49.2228102860685,10,3,7,0,0
2019-06-04,412.47299999999996,2.72769196E7,39.975181237877386,10,1,9,2,0
2020-08-24,918.4480000000001,2.22403301E7,64.10013934299079,10,9,1,0,5
2021-01-27,791.639,3.81114686E7,61.094681584607464,10,7,3,0,2
2021-06-22,890.5259999999998,1.95324266E7,66.60739041470332,10,10,0,0,4
2021-08-27,892.5790000000001,2.10049735E7,63.2436175971459,10,10,0,0,2
2021-10-11,879.143,1.68769917E7,52.52576392327435,10,5,5,1,2
2022-03-28,900.6870000000001,3.29217954E7,72.72039983878366,10,10,0,0,7
2023-06-22,250.622,4.9964291E7,60.40536289416269,10,8,2,0,1
2024-09-18,296.745,5.69312321E7,53.040763718577224,10,7,3,0,0
1999-11-19,65.27799999999999,8997000.0,64.11151598822342,5,4,1,1,2
2001-06-27,45.174,1.16498E7,41.66902071621473,5,2,3,0,0
2002-01-23,35.86,1.590154E7,48.53696726870285,5,2,3,0,0
2002-11-15,20.65,1.2687816666666666E7,58.82282793248037,6,6,0,0,1
2003-11-11,30.728333333333328,1.72873E7,50.54968053948593,6,2,4,1,2
2004-02-23,27.513166666666667,1.5098366666666666E7,38.10513051389942,6,1,5,1,0
2004-07-12,26.621428571428567,1.1528357142857144E7,43.38517908573202,7,2,5,2,0
2004-07-27,22.824285714285715,1.6228414285714285E7,31.795131870527715,7,2,5,4,0
2007-04-19,92.995,1.97325625E7,58.78010457999753,8,5,3,0,3
2008-07-15,110.74875,2.6528375E7,29.642540161745067,8,0,8,4,0
2008-09-26,94.71875000000001,2.4572825E7,46.69915220473638,8,3,5,1,0
2009-10-19,124.40375000000002,1.67067E7,59.77742612461435,8,7,1,0,2
2010-09-24,147.31833333333333,2.0640288888888888E7,73.49942359982927,9,8,1,0,6
2011-05-06,169.17555555555552,1.3159011111111112E7,59.83858927458412,9,6,3,0,3
2011-10-07,157.77222222222224,1.50991E7,34.3697357663617,9,4,5,3,0
2012-07-17,171.74999999999997,1.138572E7,48.32907978409174,10,4,6,1,2
2013-09-19,231.9043,1.809394E7,70.29120008564551,10,9,1,0,6
2015-03-06,193.99849999999998,1.73721607E7,47.403289194276155,10,5,5,1,0
2016-04-25,209.74899999999997,1.93951027E7,49.127974178513874,10,5,5,0,0
2017-01-06,247.36599999999999,1.63900192E7,63.32630445718587,10,10,0,0,2
2018-06-06,443.383,2.0945471E7,76.85665731513956,10,10,0,0,7
2019-11-01,465.41900000000004,1.84930848E7,67.4326210024167,10,10,0,0,3
2019-11-18,475.46999999999997,1.6297552E7,74.57196026017718,10,9,1,0,6
2020-01-21,544.8329999999999,1.66829997E7,75.34082158447838,10,10,0,0,8
2020-07-24,788.271,3.59838392E7,49.18668424045992,10,5,5,0,1
2020-08-05,831.298,1.62739615E7,61.448375109020425,10,7,3,0,4
2022-07-27,232.83700000000005,4.70020249E7,54.803193685822734,10,9,1,1,1
2022-08-02,243.583,4.00419307E7,65.39817104809865,10,8,2,1,6
2022-11-29,152.18200000000002,3.88475366E7,57.685696915576,10,6,4,0,0
2023-05-22,216.56599999999997,4.45342117E7,74.63624242916468,10,10,0,0,7
2023-09-14,256.673,3.94936902E7,64.77559712007039,10,7,3,0,6
2023-11-08,258.935,3.49592972E7,61.55534189787937,10,9,1,0,2
2024-02-05,326.55100000000004,5.17509565E7,65.08348673562277,10,7,3,1,5
2024-05-30,374.065,3.83569909E7,52.6550119634658,10,5,5,2,1
2024-06-04,380.615,2.85738644E7,53.4984478757111,10,5,5,1,1
2024-06-12,287.62399999999997,7.44997463E7,52.222858765259375,10,7,3,2,2
2024-08-27,294.67,5.06873985E7,73.16021580002968,10,9,1,0,5
2000-03-09,89.898,1.271478E7,61.80589752844355,5,5,0,0,2
2001-03-12,30.434000000000005,1.601782E7,45.52366242318105,5,0,5,0,0
2001-11-13,32.478,1.171864E7,61.43708327090599,5,4,1,0,1
2002-04-23,27.948,1.240684E7,43.02316744651946,5,1,4,1,0
2002-09-06,17.935000000000002,9207266.666666666,41.481174372475316,6,2,4,1,0
2003-03-28,17.855,1.092545E7,64.85239376572103,6,5,1,0,2
2005-08-03,63.387499999999996,2.22011125E7,65.60931873772229,8,7,1,0,2
2005-10-04,68.07125,2.7293825E7,56.984310092657594,8,7,1,1,1
2006-02-28,80.35999999999999,2.80072E7,49.466819045517546,8,2,6,0,0
2006-12-01,95.58624999999999,2.0976808375E7,50.76710632650556,8,2,6,1,1
2007-03-29,91.31500000000001,1.5633025E7,53.50514816973573,8,6,2,1,1
2007-05-15,96.58749999999999,2.25655E7,61.11327541276421,8,6,2,0,2
2007-12-28,145.79625,1.22125125E7,53.96150622478569,8,7,1,1,1
2008-02-01,108.3374875,5.29674875E7,41.61255302995448,8,3,5,3,1
2009-05-13,86.55125,1.97202875E7,45.74305998346748,8,2,6,2,1
2009-06-25,94.69624999999999,1.6413375E7,45.68414445924711,8,5,3,2,1
2010-04-15,152.45499999999996,2.12093875E7,74.86111617075214,8,8,0,0,6
2010-08-16,128.02222222222224,1.1972E7,42.65507323393859,9,2,7,3,2
2011-07-07,183.385,1.3561388888888888E7,72.80927909127797,9,7,2,0,7
2011-07-18,187.29944444444445,1.49505E7,59.11903977808832,9,6,3,2,3
2011-11-18,159.52777777777777,1.3240611111111112E7,41.47230486478358,9,1,8,1,0
2014-08-01,182.58199999999997,1.87275621E7,41.35790918513362,10,3,7,3,0
2015-04-09,192.4345,1.03059099E7,49.02210268762736,10,7,3,0,0
2015-09-02,184.614,1.95182468E7,43.431039273772534,10,1,9,0,0
2015-12-22,215.81199999999998,1.22087824E7,46.378068441952095,10,5,5,1,1
2016-05-03,208.00799999999998,1.51818016E7,38.85810745315987,10,3,7,5,0
2016-07-26,223.41800000000003,2.2576007E7,69.84598858566052,10,7,3,0,5
2016-08-15,233.57000000000002,1.30392873E7,64.74392555218394,10,8,2,0,4
2016-08-31,230.63099999999994,1.14225219E7,44.605621232636025,10,6,4,2,0
2016-10-03,239.808,1.20851898E7,67.6772538791492,10,8,2,0,4
2018-06-26,444.058,1.71357364E7,46.13912977912466,10,4,6,2,0
2018-08-08,479.08899999999994,1.57534602E7,58.20370075795023,10,8,2,0,1
2018-10-05,461.6809999999999,2.31914114E7,46.88650925514046,10,1,9,1,0
2018-11-02,422.846,3.2365144E7,47.12191291370234,10,1,9,0,1
2019-11-21,472.337,1.79594383E7,64.89164007278889,10,9,1,1,4
2020-04-30,620.677,2.76394579E7,66.32342427467294,10,9,1,0,3
2020-08-28,968.2880000000001,2.01109849E7,74.59483323672796,10,10,0,0,8
2022-01-31,845.216,4.05097934E7,41.5910394929975,10,3,7,1,0
2022-05-19,625.225,4.51915936E7,40.69937571643428,10,1,9,0,0
2023-09-19,250.36700000000002,3.56906001E7,46.70116514106701,10,3,7,2,0
2023-11-22,274.157,4.09040931E7,76.95834199517385,10,10,0,0,8
2024-10-24,316.78200000000004,5.01513132E7,49.561094225238634,10,7,3,1,1
2024-11-25,340.63100000000003,6.90151966E7,58.64927915792398,10,5,5,0,3
2003-08-28,25.855,1.4027066666666666E7,80.29823250373845,6,6,0,0,5
2003-11-10,30.831666666666663,1.55131E7,47.44522248470599,6,2,4,2,2
2006-02-09,79.56625,1.79096375E7,45.11311244664283,8,1,7,2,0
2006-11-13,95.67625,1.4251945875E7,68.9984348004921,8,7,1,0,3
2006-12-26,91.20375,9425737.5,42.68081886395585,8,3,5,2,0
2008-02-07,104.25625,4.09540375E7,39.836123818796196,8,1,7,3,1
2009-03-12,74.06750000000001,2.52747875E7,60.67221891047675,8,7,1,0,2
2010-07-19,123.14111111111113,1.5903555555555556E7,45.886158818680954,9,5,4,1,0
2010-12-15,164.4655555555555,1.5354088888888888E7,51.44168302498219,9,6,3,1,1
2012-08-23,189.00780000000003,1.263212E7,65.54365734778784,10,8,2,0,4
2012-09-21,200.588,2.301482E7,60.69245472414426,10,7,3,0,3
2014-06-03,229.86600000000004,9419150.0,61.28569125757493,10,8,2,0,3
2016-01-28,201.8835,2.94714814E7,42.41063675636068,10,3,7,3,0
2017-01-27,259.676,1.49900212E7,72.95354372437207,10,9,1,0,7
2017-09-28,311.84099999999995,1.07258013E7,49.667326974430395,10,2,8,0,0
2021-04-29,869.683,3.51699266E7,53.26490195690731,10,7,3,1,0
2021-05-12,792.69,2.74297151E7,35.05777511492657,10,0,10,4,0
2021-07-20,856.9399999999999,2.40565241E7,48.18788227357357,10,4,6,1,0
2021-07-30,855.707,2.9852976E7,47.546080098284264,10,6,4,2,1
2021-09-14,903.0099999999999,2.29466255E7,55.02082287075082,10,7,3,0,1
2022-05-26,631.756,4.23739855E7,43.832878108916624,10,3,7,0,0
